2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.11 03:30:35 Features for USDCAD.r: price=1.39372, atr=0.00113214, signal=hold
2025.04.11 03:30:39 Features for EURUSD.r: price=1.12751, atr=0.00195714, signal=buy
2025.04.11 03:30:39 Features for USDJPY.r: price=143.22900, atr=0.24335714, signal=hold
2025.04.11 03:30:39 Features for XAUUSD.r: price=3195.90000, atr=5.51928571, signal=hold
2025.04.11 03:30:39 Features for AUDUSD.r: price=0.62041, atr=0.00094286, signal=buy
2025.04.11 03:30:39 Features for GBPUSD.r: price=1.30027, atr=0.00125714, signal=hold
2025.04.11 03:30:39 Features for USDCAD.r: price=1.39374, atr=0.00113214, signal=hold
2025.04.11 03:30:42 Features for EURUSD.r: price=1.12746, atr=0.00195714, signal=hold
2025.04.11 03:30:42 Features for USDJPY.r: price=143.25100, atr=0.24335714, signal=hold
2025.04.11 03:30:42 Features for XAUUSD.r: price=3196.06000, atr=5.51928571, signal=hold
2025.04.11 03:30:42 Features for AUDUSD.r: price=0.62041, atr=0.00094286, signal=buy
2025.04.11 03:30:42 Features for GBPUSD.r: price=1.30027, atr=0.00125714, signal=hold
2025.04.11 03:30:42 Features for USDCAD.r: price=1.39376, atr=0.00113214, signal=hold
2025.04.11 03:39:53 Features for EURUSD.r: price=1.13446, atr=0.00269714, signal=hold
2025.04.11 03:39:53 Features for USDJPY.r: price=143.02200, atr=0.26814286, signal=hold
2025.04.11 03:39:53 Features for XAUUSD.r: price=3205.64000, atr=6.30571429, signal=hold
2025.04.11 03:39:53 Features for AUDUSD.r: price=0.62309, atr=0.00111429, signal=hold
2025.04.11 03:39:53 Features for GBPUSD.r: price=1.30358, atr=0.00153714, signal=hold
2025.04.11 03:39:53 Features for USDCAD.r: price=1.39156, atr=0.00129071, signal=hold
2025.04.11 03:39:57 Features for EURUSD.r: price=1.13447, atr=0.00269714, signal=hold
2025.04.11 03:39:57 Features for USDJPY.r: price=143.00500, atr=0.26814286, signal=hold
2025.04.11 03:39:57 Features for XAUUSD.r: price=3206.40000, atr=6.30571429, signal=hold
2025.04.11 03:39:57 Features for AUDUSD.r: price=0.62312, atr=0.00111786, signal=hold
2025.04.11 03:39:57 Features for GBPUSD.r: price=1.30355, atr=0.00153714, signal=hold
2025.04.11 03:39:57 Features for USDCAD.r: price=1.39153, atr=0.00129071, signal=hold
2025.04.11 03:40:01 Features for EURUSD.r: price=1.13468, atr=0.00269714, signal=hold
2025.04.11 03:40:01 Features for USDJPY.r: price=142.99100, atr=0.26814286, signal=hold
2025.04.11 03:40:01 Features for XAUUSD.r: price=3207.01000, atr=6.30571429, signal=hold
2025.04.11 03:40:01 Features for AUDUSD.r: price=0.62309, atr=0.00111786, signal=hold
2025.04.11 03:40:01 Features for GBPUSD.r: price=1.30366, atr=0.00153714, signal=hold
2025.04.11 03:40:01 Features for USDCAD.r: price=1.39149, atr=0.00129071, signal=hold
2025.04.11 03:40:06 Features for EURUSD.r: price=1.13468, atr=0.00269714, signal=hold
2025.04.11 03:40:06 Features for USDJPY.r: price=143.00100, atr=0.26814286, signal=hold
2025.04.11 03:40:06 Features for XAUUSD.r: price=3207.28000, atr=6.35000000, signal=hold
2025.04.11 03:40:06 Features for AUDUSD.r: price=0.62310, atr=0.00111786, signal=hold
2025.04.11 03:40:06 Features for GBPUSD.r: price=1.30367, atr=0.00153714, signal=hold
2025.04.11 03:40:06 Features for USDCAD.r: price=1.39159, atr=0.00129071, signal=hold
2025.04.11 03:40:10 Features for EURUSD.r: price=1.13455, atr=0.00269714, signal=hold
2025.04.11 03:40:10 Features for USDJPY.r: price=143.02700, atr=0.26814286, signal=hold
2025.04.11 03:40:10 Features for XAUUSD.r: price=3207.26000, atr=6.35000000, signal=hold
2025.04.11 03:40:10 Features for AUDUSD.r: price=0.62310, atr=0.00111857, signal=hold
2025.04.11 03:40:10 Features for GBPUSD.r: price=1.30349, atr=0.00153714, signal=hold
2025.04.11 03:40:10 Features for USDCAD.r: price=1.39156, atr=0.00129071, signal=hold
2025.04.11 03:40:15 Features for EURUSD.r: price=1.13433, atr=0.00269714, signal=hold
2025.04.11 03:40:15 Features for USDJPY.r: price=143.02000, atr=0.26814286, signal=hold
2025.04.11 03:40:15 Features for XAUUSD.r: price=3206.97000, atr=6.35000000, signal=hold
2025.04.11 03:40:15 Features for AUDUSD.r: price=0.62303, atr=0.00111857, signal=hold
2025.04.11 03:40:15 Features for GBPUSD.r: price=1.30336, atr=0.00153714, signal=hold
2025.04.11 03:40:15 Features for USDCAD.r: price=1.39163, atr=0.00129071, signal=hold
2025.04.11 03:45:01 Features for EURUSD.r: price=1.13135, atr=0.00262643, signal=hold
2025.04.11 03:45:01 Features for USDJPY.r: price=143.24300, atr=0.26871429, signal=hold
2025.04.11 03:45:01 Features for XAUUSD.r: price=3212.44000, atr=6.76428571, signal=hold
2025.04.11 03:45:01 Features for AUDUSD.r: price=0.62184, atr=0.00116643, signal=buy
2025.04.11 03:45:01 Features for GBPUSD.r: price=1.30228, atr=0.00151286, signal=hold
2025.04.11 03:45:01 Features for USDCAD.r: price=1.39353, atr=0.00128357, signal=hold
2025.04.11 03:45:06 Features for EURUSD.r: price=1.13153, atr=0.00264643, signal=hold
2025.04.11 03:45:06 Features for USDJPY.r: price=143.23900, atr=0.27050000, signal=hold
2025.04.11 03:45:06 Features for XAUUSD.r: price=3213.03000, atr=6.85714286, signal=hold
2025.04.11 03:45:06 Features for AUDUSD.r: price=0.62192, atr=0.00117143, signal=buy
2025.04.11 03:45:06 Features for GBPUSD.r: price=1.30212, atr=0.00152000, signal=hold
2025.04.11 03:45:06 Features for USDCAD.r: price=1.39366, atr=0.00129929, signal=hold
2025.04.11 03:45:10 Features for EURUSD.r: price=1.13165, atr=0.00264643, signal=hold
2025.04.11 03:45:10 Features for USDJPY.r: price=143.24500, atr=0.27050000, signal=hold
2025.04.11 03:45:10 Features for XAUUSD.r: price=3214.00000, atr=6.87285714, signal=hold
2025.04.11 03:45:10 Features for AUDUSD.r: price=0.62183, atr=0.00117357, signal=buy
2025.04.11 03:45:10 Features for GBPUSD.r: price=1.30218, atr=0.00152643, signal=hold
2025.04.11 03:45:10 Features for USDCAD.r: price=1.39379, atr=0.00130214, signal=hold
2025.04.11 03:45:15 Features for EURUSD.r: price=1.13166, atr=0.00264643, signal=hold
2025.04.11 03:45:15 Features for USDJPY.r: price=143.25400, atr=0.27050000, signal=hold
2025.04.11 03:45:15 Features for XAUUSD.r: price=3214.86000, atr=6.92785714, signal=hold
2025.04.11 03:45:15 Features for AUDUSD.r: price=0.62186, atr=0.00117357, signal=buy
2025.04.11 03:45:15 Features for GBPUSD.r: price=1.30214, atr=0.00152643, signal=hold
2025.04.11 03:45:15 Features for USDCAD.r: price=1.39384, atr=0.00130786, signal=hold
2025.04.11 03:45:53 Features for EURUSD.r: price=1.13165, atr=0.00267929, signal=hold
2025.04.11 03:45:53 Features for USDJPY.r: price=143.25400, atr=0.27135714, signal=hold
2025.04.11 03:45:53 Features for XAUUSD.r: price=3213.42000, atr=6.97928571, signal=hold
2025.04.11 03:45:53 Features for AUDUSD.r: price=0.62217, atr=0.00119643, signal=buy
2025.04.11 03:45:53 Features for GBPUSD.r: price=1.30220, atr=0.00152714, signal=hold
2025.04.11 03:45:53 Features for USDCAD.r: price=1.39377, atr=0.00130786, signal=hold
2025.04.11 03:45:57 Features for EURUSD.r: price=1.13178, atr=0.00267929, signal=hold
2025.04.11 03:45:57 Features for USDJPY.r: price=143.24900, atr=0.27135714, signal=hold
2025.04.11 03:45:57 Features for XAUUSD.r: price=3213.80000, atr=6.97928571, signal=hold
2025.04.11 03:45:57 Features for AUDUSD.r: price=0.62224, atr=0.00119643, signal=buy
2025.04.11 03:45:57 Features for GBPUSD.r: price=1.30228, atr=0.00152714, signal=hold
2025.04.11 03:45:57 Features for USDCAD.r: price=1.39384, atr=0.00131571, signal=hold
2025.04.11 03:54:47 Features for EURUSD.r: price=1.13057, atr=0.00276357, signal=hold
2025.04.11 03:54:47 Features for USDJPY.r: price=143.38600, atr=0.28464286, signal=hold
2025.04.11 03:54:47 Features for XAUUSD.r: price=3204.35000, atr=7.62785714, signal=hold
2025.04.11 03:54:47 Features for AUDUSD.r: price=0.62103, atr=0.00130143, signal=hold
2025.04.11 03:54:47 Features for GBPUSD.r: price=1.30149, atr=0.00161000, signal=hold
2025.04.11 03:54:47 Features for USDCAD.r: price=1.39505, atr=0.00139571, signal=hold
2025.04.11 03:54:47 Features for EURUSD.r: price=1.13057, atr=0.00276357, signal=hold
2025.04.11 03:54:47 Features for USDJPY.r: price=143.38700, atr=0.28464286, signal=hold
2025.04.11 03:54:47 Features for XAUUSD.r: price=3204.38000, atr=7.62785714, signal=hold
2025.04.11 03:54:47 Features for AUDUSD.r: price=0.62102, atr=0.00130143, signal=hold
2025.04.11 03:54:47 Features for GBPUSD.r: price=1.30149, atr=0.00161000, signal=hold
2025.04.11 03:54:47 Features for USDCAD.r: price=1.39505, atr=0.00139571, signal=hold
2025.04.11 03:54:47 Features for EURUSD.r: price=1.13057, atr=0.00276357, signal=hold
2025.04.11 03:54:47 Features for USDJPY.r: price=143.38700, atr=0.28464286, signal=hold
2025.04.11 03:54:47 Features for XAUUSD.r: price=3204.38000, atr=7.62785714, signal=hold
2025.04.11 03:54:47 Features for AUDUSD.r: price=0.62102, atr=0.00130143, signal=hold
2025.04.11 03:54:47 Features for GBPUSD.r: price=1.30149, atr=0.00161000, signal=hold
2025.04.11 03:54:47 Features for USDCAD.r: price=1.39505, atr=0.00139571, signal=hold
2025.04.11 03:55:37 Features for EURUSD.r: price=1.13062, atr=0.00276357, signal=hold
2025.04.11 03:55:37 Features for USDJPY.r: price=143.42600, atr=0.28464286, signal=hold
2025.04.11 03:55:37 Features for XAUUSD.r: price=3205.45000, atr=7.62785714, signal=hold
2025.04.11 03:55:37 Features for AUDUSD.r: price=0.62111, atr=0.00130143, signal=hold
2025.04.11 03:55:37 Features for GBPUSD.r: price=1.30156, atr=0.00161000, signal=hold
2025.04.11 03:55:37 Features for USDCAD.r: price=1.39514, atr=0.00140357, signal=hold
2025.04.11 03:56:23 Features for EURUSD.r: price=1.13013, atr=0.00279071, signal=hold
2025.04.11 03:56:23 Features for USDJPY.r: price=143.45200, atr=0.28485714, signal=hold
2025.04.11 03:56:23 Features for XAUUSD.r: price=3204.82000, atr=7.62785714, signal=hold
2025.04.11 03:56:23 Features for AUDUSD.r: price=0.62109, atr=0.00130143, signal=hold
2025.04.11 03:56:23 Features for GBPUSD.r: price=1.30138, atr=0.00161929, signal=hold
2025.04.11 03:56:23 Features for USDCAD.r: price=1.39538, atr=0.00143071, signal=hold
2025.04.11 03:56:28 Features for EURUSD.r: price=1.12980, atr=0.00280429, signal=hold
2025.04.11 03:56:28 Features for USDJPY.r: price=143.49300, atr=0.28785714, signal=hold
2025.04.11 03:56:28 Features for XAUUSD.r: price=3205.26000, atr=7.62785714, signal=hold
2025.04.11 03:56:28 Features for AUDUSD.r: price=0.62091, atr=0.00130143, signal=hold
2025.04.11 03:56:28 Features for GBPUSD.r: price=1.30114, atr=0.00162357, signal=hold
2025.04.11 03:56:28 Features for USDCAD.r: price=1.39558, atr=0.00143143, signal=hold
2025.04.11 03:56:33 Features for EURUSD.r: price=1.12962, atr=0.00282071, signal=hold
2025.04.11 03:56:33 Features for USDJPY.r: price=143.48300, atr=0.28785714, signal=hold
2025.04.11 03:56:33 Features for XAUUSD.r: price=3205.51000, atr=7.62785714, signal=hold
2025.04.11 03:56:33 Features for AUDUSD.r: price=0.62093, atr=0.00130143, signal=hold
2025.04.11 03:56:33 Features for GBPUSD.r: price=1.30111, atr=0.00162714, signal=hold
2025.04.11 03:56:33 Features for USDCAD.r: price=1.39558, atr=0.00143143, signal=hold
2025.04.11 03:56:48 Features for EURUSD.r: price=1.13007, atr=0.00282071, signal=hold
2025.04.11 03:56:48 Features for USDJPY.r: price=143.48200, atr=0.28828571, signal=hold
2025.04.11 03:56:48 Features for XAUUSD.r: price=3207.62000, atr=7.62785714, signal=hold
2025.04.11 03:56:48 Features for AUDUSD.r: price=0.62103, atr=0.00130143, signal=hold
2025.04.11 03:56:48 Features for GBPUSD.r: price=1.30134, atr=0.00162714, signal=hold
2025.04.11 03:56:48 Features for USDCAD.r: price=1.39545, atr=0.00143143, signal=hold
2025.04.11 03:56:55 Features for EURUSD.r: price=1.13008, atr=0.00282071, signal=hold
2025.04.11 03:56:55 Features for USDJPY.r: price=143.42400, atr=0.28828571, signal=hold
2025.04.11 03:56:55 Features for XAUUSD.r: price=3207.14000, atr=7.62785714, signal=hold
2025.04.11 03:56:55 Features for AUDUSD.r: price=0.62106, atr=0.00130143, signal=hold
2025.04.11 03:56:55 Features for GBPUSD.r: price=1.30135, atr=0.00162714, signal=hold
2025.04.11 03:56:55 Features for USDCAD.r: price=1.39535, atr=0.00143143, signal=hold
2025.04.11 04:00:23 Features for EURUSD.r: price=1.12919, atr=0.00290000, signal=hold
2025.04.11 04:00:23 Features for USDJPY.r: price=143.39200, atr=0.28471429, signal=hold
2025.04.11 04:00:23 Features for XAUUSD.r: price=3205.40000, atr=7.73642857, signal=hold
2025.04.11 04:00:23 Features for AUDUSD.r: price=0.62114, atr=0.00132000, signal=buy
2025.04.11 04:00:23 Features for GBPUSD.r: price=1.30071, atr=0.00166000, signal=hold
2025.04.11 04:00:23 Features for USDCAD.r: price=1.39555, atr=0.00146643, signal=hold
2025.04.11 04:00:28 Features for EURUSD.r: price=1.12928, atr=0.00290000, signal=hold
2025.04.11 04:00:28 Features for USDJPY.r: price=143.40500, atr=0.28535714, signal=hold
2025.04.11 04:00:28 Features for XAUUSD.r: price=3208.57000, atr=7.73642857, signal=hold
2025.04.11 04:00:28 Features for AUDUSD.r: price=0.62120, atr=0.00132000, signal=buy
2025.04.11 04:00:28 Features for GBPUSD.r: price=1.30079, atr=0.00166000, signal=hold
2025.04.11 04:00:28 Features for USDCAD.r: price=1.39545, atr=0.00146643, signal=buy
2025.04.11 04:00:33 Features for EURUSD.r: price=1.12925, atr=0.00290000, signal=hold
2025.04.11 04:00:33 Features for USDJPY.r: price=143.39600, atr=0.28535714, signal=hold
2025.04.11 04:00:33 Features for XAUUSD.r: price=3208.74000, atr=7.73642857, signal=hold
2025.04.11 04:00:33 Features for AUDUSD.r: price=0.62122, atr=0.00132000, signal=buy
2025.04.11 04:00:33 Features for GBPUSD.r: price=1.30080, atr=0.00166000, signal=hold
2025.04.11 04:00:33 Features for USDCAD.r: price=1.39552, atr=0.00146643, signal=buy
2025.04.11 04:00:37 Features for EURUSD.r: price=1.12924, atr=0.00290071, signal=hold
2025.04.11 04:00:37 Features for USDJPY.r: price=143.40500, atr=0.28592857, signal=hold
2025.04.11 04:00:37 Features for XAUUSD.r: price=3207.37000, atr=7.73642857, signal=hold
2025.04.11 04:00:37 Features for AUDUSD.r: price=0.62125, atr=0.00132000, signal=buy
2025.04.11 04:00:37 Features for GBPUSD.r: price=1.30086, atr=0.00166000, signal=hold
2025.04.11 04:00:37 Features for USDCAD.r: price=1.39551, atr=0.00146643, signal=hold
2025.04.11 04:00:48 Features for EURUSD.r: price=1.12943, atr=0.00290143, signal=hold
2025.04.11 04:00:48 Features for USDJPY.r: price=143.39800, atr=0.28592857, signal=hold
2025.04.11 04:00:48 Features for XAUUSD.r: price=3206.17000, atr=7.73642857, signal=hold
2025.04.11 04:00:48 Features for AUDUSD.r: price=0.62151, atr=0.00132286, signal=buy
2025.04.11 04:00:48 Features for GBPUSD.r: price=1.30106, atr=0.00166000, signal=hold
2025.04.11 04:00:48 Features for USDCAD.r: price=1.39536, atr=0.00146643, signal=buy
2025.04.11 04:00:55 Features for EURUSD.r: price=1.12949, atr=0.00290143, signal=hold
2025.04.11 04:00:55 Features for USDJPY.r: price=143.41200, atr=0.28650000, signal=hold
2025.04.11 04:00:55 Features for XAUUSD.r: price=3206.07000, atr=7.73642857, signal=hold
2025.04.11 04:00:55 Features for AUDUSD.r: price=0.62163, atr=0.00134143, signal=buy
2025.04.11 04:00:55 Features for GBPUSD.r: price=1.30104, atr=0.00166000, signal=hold
2025.04.11 04:00:55 Features for USDCAD.r: price=1.39533, atr=0.00146643, signal=hold
2025.04.11 04:15:23 Features for EURUSD.r: price=1.12832, atr=0.00296786, signal=hold
2025.04.11 04:15:24 Features for USDJPY.r: price=143.59500, atr=0.31178571, signal=hold
2025.04.11 04:15:24 Features for XAUUSD.r: price=3211.87000, atr=8.23785714, signal=hold
2025.04.11 04:15:24 Features for AUDUSD.r: price=0.62207, atr=0.00141143, signal=buy
2025.04.11 04:15:24 Features for GBPUSD.r: price=1.29959, atr=0.00176000, signal=hold
2025.04.11 04:15:24 Features for USDCAD.r: price=1.39517, atr=0.00154357, signal=hold
2025.04.11 04:15:28 Features for EURUSD.r: price=1.12811, atr=0.00298071, signal=hold
2025.04.11 04:15:28 Features for USDJPY.r: price=143.62500, atr=0.31257143, signal=hold
2025.04.11 04:15:28 Features for XAUUSD.r: price=3211.79000, atr=8.23857143, signal=hold
2025.04.11 04:15:28 Features for AUDUSD.r: price=0.62186, atr=0.00142357, signal=buy
2025.04.11 04:15:28 Features for GBPUSD.r: price=1.29945, atr=0.00176500, signal=hold
2025.04.11 04:15:28 Features for USDCAD.r: price=1.39533, atr=0.00154929, signal=buy
2025.04.11 04:15:33 Features for EURUSD.r: price=1.12792, atr=0.00299071, signal=hold
2025.04.11 04:15:33 Features for USDJPY.r: price=143.64500, atr=0.31414286, signal=hold
2025.04.11 04:15:33 Features for XAUUSD.r: price=3211.31000, atr=8.23857143, signal=hold
2025.04.11 04:15:33 Features for AUDUSD.r: price=0.62176, atr=0.00143143, signal=buy
2025.04.11 04:15:33 Features for GBPUSD.r: price=1.29941, atr=0.00176929, signal=hold
2025.04.11 04:15:33 Features for USDCAD.r: price=1.39544, atr=0.00155500, signal=buy
2025.04.11 04:15:37 Features for EURUSD.r: price=1.12834, atr=0.00299071, signal=hold
2025.04.11 04:15:37 Features for USDJPY.r: price=143.63400, atr=0.31414286, signal=hold
2025.04.11 04:15:37 Features for XAUUSD.r: price=3211.44000, atr=8.23857143, signal=hold
2025.04.11 04:15:37 Features for AUDUSD.r: price=0.62204, atr=0.00143143, signal=buy
2025.04.11 04:15:37 Features for GBPUSD.r: price=1.29970, atr=0.00176929, signal=hold
2025.04.11 04:15:37 Features for USDCAD.r: price=1.39524, atr=0.00155571, signal=hold
2025.04.11 04:15:48 Features for EURUSD.r: price=1.12836, atr=0.00299071, signal=hold
2025.04.11 04:15:48 Features for USDJPY.r: price=143.59300, atr=0.31414286, signal=hold
2025.04.11 04:15:48 Features for XAUUSD.r: price=3210.98000, atr=8.24071429, signal=hold
2025.04.11 04:15:48 Features for AUDUSD.r: price=0.62214, atr=0.00143143, signal=buy
2025.04.11 04:15:48 Features for GBPUSD.r: price=1.29973, atr=0.00176929, signal=hold
2025.04.11 04:15:48 Features for USDCAD.r: price=1.39500, atr=0.00155571, signal=buy
2025.04.11 04:15:55 Features for EURUSD.r: price=1.12862, atr=0.00299071, signal=hold
2025.04.11 04:15:55 Features for USDJPY.r: price=143.58800, atr=0.31414286, signal=hold
2025.04.11 04:15:55 Features for XAUUSD.r: price=3210.70000, atr=8.24071429, signal=hold
2025.04.11 04:15:55 Features for AUDUSD.r: price=0.62234, atr=0.00143143, signal=buy
2025.04.11 04:15:55 Features for GBPUSD.r: price=1.29993, atr=0.00176929, signal=hold
2025.04.11 04:15:55 Features for USDCAD.r: price=1.39494, atr=0.00155714, signal=hold
2025.04.11 04:31:30 Features for EURUSD.r: price=1.13072, atr=0.00304286, signal=hold
2025.04.11 04:31:30 Features for USDJPY.r: price=143.48600, atr=0.31692857, signal=hold
2025.04.11 04:31:30 Features for XAUUSD.r: price=3212.50000, atr=8.78785714, signal=hold
2025.04.11 04:31:30 Features for AUDUSD.r: price=0.62292, atr=0.00147143, signal=hold
2025.04.11 04:31:30 Features for GBPUSD.r: price=1.30152, atr=0.00183357, signal=hold
2025.04.11 04:31:30 Features for USDCAD.r: price=1.39418, atr=0.00157000, signal=hold
2025.04.11 04:31:30 Features for USDCAD.r: price=1.39418, atr=0.00157000, signal=hold
2025.04.11 04:45:01 Features for EURUSD.r: price=1.13032, atr=0.00305429, signal=hold
2025.04.11 04:45:01 Features for USDJPY.r: price=143.59100, atr=0.31550000, signal=hold
2025.04.11 04:45:01 Features for XAUUSD.r: price=3214.65000, atr=8.88857143, signal=hold
2025.04.11 04:45:01 Features for AUDUSD.r: price=0.62347, atr=0.00148071, signal=hold
2025.04.11 04:45:01 Features for GBPUSD.r: price=1.30088, atr=0.00186143, signal=hold
2025.04.11 04:45:01 Features for USDCAD.r: price=1.39435, atr=0.00154714, signal=hold
2025.04.11 04:45:01 Features for EURUSD.r: price=1.13016, atr=0.00306357, signal=hold
2025.04.11 04:45:01 Features for USDJPY.r: price=143.59300, atr=0.31564286, signal=hold
2025.04.11 04:45:01 Features for XAUUSD.r: price=3214.65000, atr=8.88857143, signal=hold
2025.04.11 04:45:01 Features for AUDUSD.r: price=0.62347, atr=0.00148071, signal=hold
2025.04.11 04:45:01 Features for GBPUSD.r: price=1.30088, atr=0.00186143, signal=hold
2025.04.11 04:45:01 Features for USDCAD.r: price=1.39436, atr=0.00154786, signal=hold
2025.04.11 04:45:01 Features for EURUSD.r: price=1.13016, atr=0.00306357, signal=hold
2025.04.11 04:45:01 Features for USDJPY.r: price=143.59300, atr=0.31564286, signal=hold
2025.04.11 04:45:01 Features for XAUUSD.r: price=3214.61000, atr=8.88857143, signal=hold
2025.04.11 04:45:01 Features for AUDUSD.r: price=0.62347, atr=0.00148071, signal=hold
2025.04.11 04:45:01 Features for GBPUSD.r: price=1.30081, atr=0.00186500, signal=hold
2025.04.11 04:45:01 Features for USDCAD.r: price=1.39436, atr=0.00154786, signal=hold
2025.04.11 04:45:01 Features for EURUSD.r: price=1.13016, atr=0.00306357, signal=hold
2025.04.11 04:45:01 Features for USDJPY.r: price=143.59300, atr=0.31564286, signal=hold
2025.04.11 04:45:01 Features for XAUUSD.r: price=3214.61000, atr=8.88857143, signal=hold
2025.04.11 04:45:01 Features for AUDUSD.r: price=0.62347, atr=0.00148071, signal=hold
2025.04.11 04:45:01 Features for GBPUSD.r: price=1.30081, atr=0.00186500, signal=hold
2025.04.11 04:45:01 Features for USDCAD.r: price=1.39436, atr=0.00154786, signal=hold
2025.04.11 04:45:01 Features for EURUSD.r: price=1.13016, atr=0.00306357, signal=hold
2025.04.11 04:45:01 Features for USDJPY.r: price=143.59300, atr=0.31564286, signal=hold
2025.04.11 04:45:01 Features for XAUUSD.r: price=3214.61000, atr=8.88857143, signal=hold
2025.04.11 04:45:01 Features for AUDUSD.r: price=0.62347, atr=0.00148071, signal=hold
2025.04.11 04:45:01 Features for GBPUSD.r: price=1.30081, atr=0.00186500, signal=hold
2025.04.11 04:45:01 Features for USDCAD.r: price=1.39436, atr=0.00154786, signal=hold
2025.04.11 05:00:31 Features for EURUSD.r: price=1.13077, atr=0.00312714, signal=hold
2025.04.11 05:00:31 Features for USDJPY.r: price=143.50900, atr=0.31342857, signal=hold
2025.04.11 05:00:31 Features for XAUUSD.r: price=3207.74000, atr=9.04214286, signal=hold
2025.04.11 05:00:31 Features for AUDUSD.r: price=0.62387, atr=0.00147143, signal=hold
2025.04.11 05:00:31 Features for GBPUSD.r: price=1.30111, atr=0.00187571, signal=hold
2025.04.11 05:00:31 Features for USDCAD.r: price=1.39286, atr=0.00165214, signal=hold
2025.04.11 05:00:31 Features for EURUSD.r: price=1.13077, atr=0.00312714, signal=hold
2025.04.11 05:00:31 Features for USDJPY.r: price=143.50900, atr=0.31342857, signal=hold
2025.04.11 05:00:31 Features for XAUUSD.r: price=3207.74000, atr=9.04214286, signal=hold
2025.04.11 05:00:31 Features for AUDUSD.r: price=0.62387, atr=0.00147143, signal=hold
2025.04.11 05:00:31 Features for GBPUSD.r: price=1.30111, atr=0.00187571, signal=hold
2025.04.11 05:00:31 Features for USDCAD.r: price=1.39286, atr=0.00165214, signal=hold
2025.04.11 05:00:31 Features for EURUSD.r: price=1.13078, atr=0.00312714, signal=hold
2025.04.11 05:00:31 Features for USDJPY.r: price=143.50900, atr=0.31342857, signal=hold
2025.04.11 05:00:31 Features for XAUUSD.r: price=3207.74000, atr=9.04214286, signal=hold
2025.04.11 05:00:31 Features for AUDUSD.r: price=0.62387, atr=0.00147143, signal=hold
2025.04.11 05:00:31 Features for GBPUSD.r: price=1.30111, atr=0.00187571, signal=hold
2025.04.11 05:00:31 Features for USDCAD.r: price=1.39284, atr=0.00165214, signal=hold
2025.04.11 05:00:31 Features for EURUSD.r: price=1.13078, atr=0.00312714, signal=hold
2025.04.11 05:00:31 Features for USDJPY.r: price=143.50900, atr=0.31342857, signal=hold
2025.04.11 05:00:31 Features for XAUUSD.r: price=3207.74000, atr=9.04214286, signal=hold
2025.04.11 05:00:31 Features for AUDUSD.r: price=0.62387, atr=0.00147143, signal=hold
2025.04.11 05:00:31 Features for GBPUSD.r: price=1.30111, atr=0.00187571, signal=hold
2025.04.11 05:00:31 Features for USDCAD.r: price=1.39284, atr=0.00165214, signal=hold
2025.04.11 05:15:31 Features for EURUSD.r: price=1.13218, atr=0.00310643, signal=buy
2025.04.11 05:15:31 Features for USDJPY.r: price=143.29200, atr=0.31528571, signal=hold
2025.04.11 05:15:31 Features for XAUUSD.r: price=3216.59000, atr=9.35428571, signal=hold
2025.04.11 05:15:31 Features for AUDUSD.r: price=0.62346, atr=0.00151643, signal=buy
2025.04.11 05:15:31 Features for GBPUSD.r: price=1.30186, atr=0.00187714, signal=hold
2025.04.11 05:15:31 Features for USDCAD.r: price=1.39264, atr=0.00164643, signal=hold
2025.04.11 05:15:31 Features for EURUSD.r: price=1.13218, atr=0.00310643, signal=buy
2025.04.11 05:15:31 Features for USDJPY.r: price=143.29200, atr=0.31528571, signal=hold
2025.04.11 05:15:31 Features for XAUUSD.r: price=3216.59000, atr=9.35428571, signal=hold
2025.04.11 05:15:31 Features for AUDUSD.r: price=0.62346, atr=0.00151643, signal=buy
2025.04.11 05:15:31 Features for GBPUSD.r: price=1.30186, atr=0.00187714, signal=hold
2025.04.11 05:15:31 Features for USDCAD.r: price=1.39264, atr=0.00164643, signal=hold
2025.04.11 05:15:31 Features for EURUSD.r: price=1.13218, atr=0.00310643, signal=buy
2025.04.11 05:15:31 Features for USDJPY.r: price=143.29200, atr=0.31528571, signal=hold
2025.04.11 05:15:31 Features for XAUUSD.r: price=3216.60000, atr=9.35428571, signal=hold
2025.04.11 05:15:31 Features for AUDUSD.r: price=0.62346, atr=0.00151643, signal=buy
2025.04.11 05:15:31 Features for GBPUSD.r: price=1.30186, atr=0.00187714, signal=hold
2025.04.11 05:15:31 Features for USDCAD.r: price=1.39264, atr=0.00164643, signal=hold
2025.04.11 05:15:31 Features for EURUSD.r: price=1.13218, atr=0.00310643, signal=buy
2025.04.11 05:15:31 Features for USDJPY.r: price=143.29200, atr=0.31528571, signal=hold
2025.04.11 05:15:31 Features for XAUUSD.r: price=3216.60000, atr=9.35428571, signal=hold
2025.04.11 05:15:31 Features for AUDUSD.r: price=0.62346, atr=0.00151643, signal=buy
2025.04.11 05:15:31 Features for GBPUSD.r: price=1.30186, atr=0.00187714, signal=hold
2025.04.11 05:15:31 Features for USDCAD.r: price=1.39264, atr=0.00164643, signal=hold
2025.04.11 05:15:31 Features for EURUSD.r: price=1.13218, atr=0.00310643, signal=buy
2025.04.11 05:15:31 Features for USDJPY.r: price=143.29200, atr=0.31528571, signal=hold
2025.04.11 05:15:31 Features for XAUUSD.r: price=3216.60000, atr=9.35428571, signal=hold
